Year,No.,primary_artist,Title,is_major_label,decade,sqrt_reappearance,duration_sec,lastfm_genre,lastfm_top_tag,new_lastfm_genre
1973,15,billy paul,"""Me and Mrs. Jones""",TRUE,1970,0,284.906,Pop,Soul,NA
1973,16,the edgar winter group,"""Frankenstein""",FALSE,1970,1,284.293,Rock,Classic Rock,Rock
1973,17,dobie gray,"""Drift Away""",FALSE,1970,0,237.466,Pop,Soul,NA
1973,18,sweet,"""Little Willy""",TRUE,1970,1.7320508075688772,192.293,Rock,70s,Rock
1973,22,sylvia robinson,"""Pillow Talk""",TRUE,1970,0,116.823,Unknown,Oldies,NA
1973,23,grand funk railroad,"""We're an American Band""",TRUE,1970,1.4142135623730951,207.093,Rock,Classic Rock,Rock
1973,24,dr. john,"""Right Place Wrong Time""",TRUE,1970,0,175.24,Blues,Funk,Blues
1973,25,skylark,"""Wildflower""",FALSE,1970,0,250.4,Pop,70s,Pop
1973,28,maureen mcgovern,"""The Morning After""",FALSE,1970,0,141.72,Pop,70s,Pop
1973,30,stealers wheel,"""Stuck in the Middle with You""",FALSE,1970,0,208.946,Rock,Classic Rock,Rock
1973,33,barry white,"""I'm Gonna Love You Just a Little More Baby""",FALSE,1970,1.4142135623730951,431.506,Rnb,Soul,Rnb
1973,35,eddie kendricks,"""Keep on Truckin'""",TRUE,1970,1.4142135623730951,479.413,Rnb,Soul,NA
1973,37,king harvest,"""Dancing in the Moonlight""",FALSE,1970,0,181.133,Pop,70s,Pop
1973,38,bobby 'boris' pickett,"""Monster Mash""",FALSE,1970,0,192.04,Pop,Halloween,NA
1973,39,bloodstone,"""Natural High""",FALSE,1970,0,240.466,Rnb,Soul,NA
1973,40,seals,"""Diamond Girl""",TRUE,1970,1,253.4,Pop,70s,NA
1973,41,the doobie brothers,"""Long Train Runnin'""",TRUE,1970,1.4142135623730951,207.266,Rock,Classic Rock,Rock
1973,44,jermaine jackson,"""Daddy's Home""",TRUE,1970,1.4142135623730951,184.6,Rnb,Soul,NA
1973,46,new york city,"""I'm Doin' Fine Now""",FALSE,1970,0,171.173,Pop,70s,NA
1973,50,deep purple,"""Smoke on the Water""",TRUE,1970,0,342.173,Rock,Classic Rock,Rock
1973,52,charlie rich,"""Behind Closed Doors""",TRUE,1970,1.4142135623730951,174.666,Country,Country,Country
1973,53,loggins,"""Your Mama Don't Dance""",TRUE,1970,0,167.52,Pop,70s,Pop
1973,57,hurricane smith,"""Oh, Babe, What Would You Say?""",FALSE,1970,0,209.12,Pop,70s,Pop
1973,58,johnnie taylor,"""I Believe in You (You Believe in Me)""",FALSE,1970,1,307.24,Rnb,Soul,NA
1973,61,eric weissberg,"""Dueling Banjos""",TRUE,1970,0,194.879,Country,Soundtrack,Country
1973,64,b.w. stevenson,"""My Maria""",TRUE,1970,0,152,Rock,70s,Rock
1973,66,edward bear,"""Last Song""",FALSE,1970,0,195.12,Pop,Oldies,NA
1973,68,steely dan,"""Reelin' in the Years""",FALSE,1970,2.23606797749979,277.467,Rock,Classic Rock,Rock
